dev_id,role_name,from_date,to_date
1026,Intern,2016-08-31,9999-01-01
1016,Lead,2011-11-29,9999-01-01
1031,Junior Dev,2022-07-29,9999-01-01
1032,Senior Dev,2011-09-08,9999-01-01
1026,Junior Dev,2019-07-13,9999-01-01
1034,Junior Dev,2015-09-17,2020-09-13
1004,Senior Dev,2016-06-10,9999-01-01
1028,Senior Dev,2019-02-17,9999-01-01
1013,Lead,2021-02-14,9999-01-01
1022,Senior Dev,2013-06-24,2015-03-01
1012,Senior Dev,2021-04-03,9999-01-01
1043,Junior Dev,2018-01-02,2023-01-02
1040,Junior Dev,2020-11-02,2022-08-01
1008,Senior Dev,2014-02-16,9999-01-01
1046,Junior Dev,2021-07-29,9999-01-01
1045,Intern,2021-03-18,2022-12-29
1010,Senior Dev,2022-04-03,9999-01-01
1017,Principal,2019-03-09,9999-01-01
1011,Lead,2022-04-02,9999-01-01
1023,Intern,2016-06-18,2018-05-22
1044,Junior Dev,2020-03-09,9999-01-01
1014,Junior Dev,2023-01-07,9999-01-01
1037,Lead,2022-06-25,9999-01-01
1007,Principal,2018-10-14,9999-01-01
1009,Senior Dev,2015-07-27,9999-01-01
1025,Principal,2020-05-18,9999-01-01
1047,Intern,2018-04-18,2020-04-18
1039,Senior Dev,2018-03-20,9999-01-01
1001,Junior Dev,2017-06-25,2020-05-20
1018,Principal,2021-04-20,9999-01-01
1024,Principal,2015-09-08,9999-01-01
1033,Lead,2016-10-26,9999-01-01
1027,Intern,2023-08-01,9999-01-01
1003,Junior Dev,2019-01-26,9999-01-01
1042,Principal,2020-07-14,9999-01-01
1005,Senior Dev,2019-09-08,9999-01-01
1048,Intern,2010-06-21,2013-05-21
1006,Lead,2018-06-25,9999-01-01
1029,Senior Dev,2014-09-08,9999-01-01
1030,Lead,2022-03-24,9999-01-01
1035,Principal,2021-01-01,9999-01-01
1049,Senior Dev,2022-03-12,9999-01-01
1019,Principal,2017-05-29,9999-01-01
1020,Senior Dev,2023-04-06,9999-01-01
1038,Senior Dev,2019-12-07,9999-01-01
1041,Lead,2020-03-25,9999-01-01
1050,Senior Dev,2014-07-06,9999-01-01
1021,Intern,2013-09-11,2016-01-20
1015,Principal,2023-05-24,9999-01-01
1045,Junior Dev,2022-12-29,9999-01-01
1017,Senior Dev,2018-02-12,2019-03-09
1040,Senior Dev,2022-08-01,9999-01-01
1004,Junior Dev,2014-04-01,2016-06-10
1028,Junior Dev,2017-03-03,2019-02-17
1013,Senior Dev,2018-04-07,2021-02-14
1022,Junior Dev,2015-03-01,2019-07-01
1012,Junior Dev,2016-01-09,2021-04-03
1043,Senior Dev,2023-01-02,9999-01-01
1040,Lead,2014-01-08,2020-11-02
1008,Junior Dev,2013-10-23,2014-02-16
1046,Intern,2018-04-07,2021-07-29
1045,Junior Dev,2019-09-17,2021-03-18
1010,Junior Dev,2022-04-03,2022-04-03
1017,Intern,2018-02-12,2018-02-12
